tensor(0.2978) tensor(2.0514e-08)
tensor(0.1626) tensor(3.1366e-07)
tensor(0.2942) tensor(1.2873e-12)
tensor(0.3033) tensor(0.0954)
tensor(0.1747) tensor(7.9651e-05)
tensor(0.2634) tensor(1.1926e-08)
tensor(0.4189) tensor(0.1018)
tensor(0.3843) tensor(0.0003)
tensor(0.4969) tensor(8.2580e-09)
tensor(0.4109) tensor(2.6205e-06)
tensor(0.2147) tensor(1.6253e-05)
tensor(0.2715) tensor(7.0781e-09)
tensor(0.2366) tensor(0.0980)
tensor(0.2316) tensor(0.0002)
tensor(0.2100) tensor(5.5246e-08)
tensor(0.3183) tensor(0.0969)
tensor(0.2202) tensor(5.1496e-05)
tensor(0.3538) tensor(2.0182e-08)
tensor(0.2462) tensor(2.6285e-07)
tensor(0.2626) tensor(4.6412e-05)
tensor(0.2390) tensor(2.8464e-09)
tensor(0.2447) tensor(0.0954)
tensor(0.2594) tensor(9.4090e-05)
tensor(0.2792) tensor(6.3353e-08)
tensor(0.2592) tensor(0.0968)
tensor(0.2083) tensor(0.0003)
tensor(0.3126) tensor(2.4987e-09)
tensor(0.2944) tensor(1.5591e-07)
tensor(0.2252) tensor(4.1303e-05)
tensor(0.2722) tensor(1.6828e-08)
tensor(0.2689) tensor(0.0949)
tensor(0.3245) tensor(0.0004)
tensor(0.1919) tensor(4.3719e-08)
tensor(0.2586) tensor(0.0994)
tensor(0.3299) tensor(0.0016)
tensor(0.3161) tensor(7.2651e-08)
tensor(0.2351) tensor(0.0008)
tensor(0.3161) tensor(0.0002)
tensor(0.3995) tensor(6.2478e-07)
tensor(0.2944) tensor(0.0897)
tensor(0.3144) tensor(0.0010)
tensor(0.2236) tensor(1.2358e-08)
tensor(0.5254) tensor(0.1242)
tensor(0.3993) tensor(0.0016)
tensor(0.3288) tensor(3.0848e-08)
tensor(0.3007) tensor(0.0014)
tensor(0.3708) tensor(0.0004)
tensor(0.3415) tensor(8.1691e-08)
tensor(0.2941) tensor(0.1067)
tensor(0.3502) tensor(0.0251)
tensor(0.3993) tensor(2.5481e-09)
tensor(0.2958) tensor(0.1493)
tensor(0.1875) tensor(0.0002)
tensor(0.3546) tensor(1.6020e-08)
tensor(0.6395) tensor(0.0344)
tensor(0.2057) tensor(7.9552e-05)
tensor(0.6413) tensor(1.2786e-08)
tensor(0.8983) tensor(0.1118)
tensor(0.2057) tensor(7.9552e-05)
tensor(0.7003) tensor(3.0563e-08)
tensor(0.2910) tensor(0.0942)
tensor(0.3197) tensor(0.0051)
tensor(0.2257) tensor(1.1336e-08)
tensor(0.3054) tensor(0.1473)
tensor(0.3477) tensor(0.0002)
tensor(0.2427) tensor(3.8902e-08)
tensor(0.7637) tensor(0.1297)
tensor(0.2212) tensor(0.0008)
tensor(0.4541) tensor(1.1729e-08)
tensor(0.4865) tensor(0.1128)
tensor(0.3347) tensor(0.0047)
tensor(0.1416) tensor(3.4570e-09)
tensor(0.3290) tensor(0.1344)
tensor(0.2939) tensor(0.0052)
tensor(0.2798) tensor(3.9324e-09)
tensor(1.3205) tensor(0.1124)
tensor(0.1884) tensor(2.0343e-05)
tensor(0.7371) tensor(1.6151e-08)
tensor(0.0371) tensor(8.9190e-06)
tensor(0.0884) tensor(5.0542e-09)
tensor(14.2340) tensor(2.9161e-12)
tensor(0) tensor(0)
